sn,ResponseID,rating,StartDate,EndDate,genderq,ageq,edu,socpol,ecopol,polpos,polpref
1,"R_1E6zBWWL249oWjU",7,"2020-11-29 19:36:28","2020-11-29 19:38:57",1,29,5,6,6,1,6
1,"R_1HjadSH63IdOyGM",5,"2020-11-29 23:29:07","2020-11-29 23:34:16",1,60,5,4,5,1,3
1,"R_1PRCK6UeUCMfkyp",6,"2020-11-29 19:37:23","2020-11-29 19:42:31",2,62,5,1,3,1,3
1,"R_1et4YvmO59IRdlR",7,"2020-11-29 19:35:51","2020-11-29 19:41:18",2,29,5,2,3,4,2
1,"R_1gOP0STN1lhVkxX",3,"2020-11-29 19:35:34","2020-11-29 19:45:15",2,39,5,4,4,3,4
1,"R_1mOdY7Fgr1mg1eW",6,"2020-11-29 23:28:18","2020-11-29 23:31:46",2,28,6,5,4,2,5
1,"R_2CqZRG1C9YhuE0T",7,"2020-11-29 21:33:22","2020-11-29 21:36:36",1,30,5,3,2,3,2
1,"R_2ZKdfgAx3z0i5KL",5,"2020-11-29 23:31:19","2020-11-29 23:35:22",2,26,5,5,4,1,2
1,"R_2f3yt2CDCSvK9NL",3,"2020-11-29 19:35:21","2020-11-29 19:43:17",2,54,5,2,2,1,1
1,"R_2uUnRJkgGphMFZY",6,"2020-11-29 23:38:37","2020-11-29 23:44:06",1,22,5,5,5,2,4
1,"R_3NWG2Mq363o3jYt",5,"2020-11-29 19:35:24","2020-11-29 19:37:47",2,68,5,6,5,1,2
1,"R_3Ph3Ad1RR0SONUK",5,"2020-11-29 21:37:07","2020-11-29 21:55:10",2,36,4,1,1,1,1
1,"R_3m2YMOz19em7YUM",6,"2020-11-29 23:54:06","2020-11-29 23:56:27",1,64,5,5,5,2,5
1,"R_3m9wFtFqaTy7ORS",5,"2020-11-29 23:43:56","2020-11-29 23:57:40",1,29,5,6,6,2,6
1,"R_3nCAn4i3VWWU4Df",5,"2020-11-30 00:49:38","2020-11-30 00:55:29",1,37,5,4,5,1,2
1,"R_O0sMr09Xw32DAIN",5,"2020-11-30 00:13:09","2020-11-30 00:25:02",,,,,,,
1,"R_PYg9Wu9hwVPtsul",5,"2020-11-29 21:36:39","2020-11-29 21:46:17",1,24,4,2,2,1,2
1,"R_RVPAdP1dN886rJf",5,"2020-11-29 21:32:53","2020-11-29 21:35:39",1,38,5,3,4,3,4
1,"R_XtFtdSaqHBCt8YN",5,"2020-11-29 19:37:33","2020-11-29 19:46:47",1,35,5,4,4,2,4
1,"R_cRPNC3FQtX2rrMZ",7,"2020-11-29 19:54:22","2020-11-29 19:56:23",1,26,5,6,6,1,1
1,"R_u37kp1fmpvxVEpr",6,"2020-11-29 23:40:53","2020-11-29 23:45:29",2,30,6,5,4,1,1
1,"R_vdddxLwM3IlSYrn",6,"2020-11-29 21:33:10","2020-11-29 21:57:52",2,42,6,3,3,3,3
2,"R_1oi2lFmD65LCatv",7,"2020-11-30 00:48:22","2020-11-30 01:07:32",1,48,4,3,5,2,4
2,"R_2dilJbH5hwc06nG",5,"2020-11-29 21:37:11","2020-11-29 21:45:45",2,33,6,5,4,1,2
