ResponseId,StartDate,EndDate,Progress,Durationinseconds,Finished,Captcha,SharingType,SocialMedia,nicks,headlineA1,headlineS1,headlineC1,t_PageSubmit1,headlineA2,headlineS2,headlineC2,t_PageSubmit2,headlineA3,headlineS3,headlineC3,t_PageSubmit3,headlineA4,headlineS4,headlineC4,t_PageSubmit4,headlineA5,headlineS5,headlineC5,t_PageSubmit5,headlineA6,headlineS6,headlineC6,t_PageSubmit6,headlineA7,headlineS7,headlineC7,t_PageSubmit7,headlineA8,headlineS8,headlineC8,t_PageSubmit8,headlineA9,headlineS9,headlineC9,t_PageSubmit9,headlineA10,headlineS10,headlineC10,t_PageSubmit10,headlineA11,headlineS11,headlineC11,t_PageSubmit11,headlineA12,headlineS12,headlineC12,t_PageSubmit12,headlineA13,headlineS13,headlineC13,t_PageSubmit13,headlineA14,headlineS14,headlineC14,t_PageSubmit14,headlineA15,headlineS15,headlineC15,t_PageSubmit15,headlineA16,headlineS16,headlineC16,t_PageSubmit16,headlineA17,headlineS17,headlineC17,t_PageSubmit17,headlineA18,headlineS18,headlineC18,t_PageSubmit18,headlineA19,headlineS19,headlineC19,t_PageSubmit19,headlineA20,headlineS20,headlineC20,t_PageSubmit20,headlineA21,headlineS21,headlineC21,t_PageSubmit21,headlineA22,headlineS22,headlineC22,t_PageSubmit22,headlineA23,headlineS23,headlineC23,t_PageSubmit23,headlineA24,headlineS24,headlineC24,t_PageSubmit24,headlineA25,headlineS25,headlineC25,t_PageSubmit25,headlineA26,headlineS26,headlineC26,t_PageSubmit26,headlineA27,headlineS27,headlineC27,t_PageSubmit27,headlineA28,headlineS28,headlineC28,t_PageSubmit28,headlineA29,headlineS29,headlineC29,t_PageSubmit29,headlineA30,headlineS30,headlineC30,t_PageSubmit30,headlineA31,headlineS31,headlineC31,t_PageSubmit31,headlineA32,headlineS32,headlineC32,t_PageSubmit32,headlineA33,headlineS33,headlineC33,t_PageSubmit33,headlineA34,headlineS34,headlineC34,t_PageSubmit34,headlineA35,headlineS35,headlineC35,t_PageSubmit35,headlineA36,headlineS36,headlineC36,t_PageSubmit36,headlineA37,headlineS37,headlineC37,t_PageSubmit37,headlineA38,headlineS38,headlineC38,t_PageSubmit38,headlineA39,headlineS39,headlineC39,t_PageSubmit39,headlineA40,headlineS40,headlineC40,t_PageSubmit40,domains,screener_2,Party,DemRep_C,Social_Conserv,Economic_Conserv,ap_1,ap_2,screener_3,CRT_1,tCRT_PageSubmit_1,CRT_2,tCRT_PageSubmit_2,CRT_3,tCRT_PageSubmit_3,Age,Gender,Education,Income,Ethnicity,god,trust,risk,Random,Google,Lucid_age,Lucid_gender,Lucid_hhi,Lucid_ethnicity,Lucid_hispanic,Lucid_education,Lucid_political_party,Lucid_region,seq,us
"R_2cc7on9Q8f5kGXH","2022-03-15 19:56:09","2022-03-15 19:56:29",100,19,1,"15","1,4,5","1,3,4,8",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,22,2,1,15,2,4,3,3,2,
"R_2e8zwNLcpdm2rFD","2022-03-15 19:56:48","2022-03-15 19:57:00",100,11,1,"15","1","8",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,22,2,5,2,1,5,3,3,2,
"R_pF8M9eDAlsBwjFD","2022-03-15 19:56:47","2022-03-15 19:57:25",100,37,1,"15","5","1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,42,2,1,2,1,3,3,3,2,
"R_2DN5VSl4lc4rj9h","2022-03-15 19:58:05","2022-03-15 19:58:24",100,18,1,"15","3","1,3,4,8",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,30,2,2,1,1,4,2,3,2,
"R_3I5Y5iyHbUGriKK","2022-03-15 19:58:01","2022-03-15 19:58:42",100,40,1,"15","2,3","7",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,51,1,1,1,1,8,1,1,2,
"R_XieczvKiuznBzz3","2022-03-15 19:58:42","2022-03-15 19:59:03",100,21,1,"15","1,3,5","2,3,4,8",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,18,2,3,2,1,3,1,4,2,
"R_1gj9nW7Li6FBSl4","2022-03-15 19:58:21","2022-03-15 20:01:41",100,200,1,"15","5","1,3,4",5,,,,,,,,,4,6,5,4.6,1,1,4,3.687,5,5,3,3.046,,,,,2,5,5,4.19,4,3,4,3.132,,,,,5,3,4,4.098,,,,,6,7,4,5.067,1,4,5,6.062,,,,,,,,,4,4,6,5.486,,,,,,,,,,,,,4,5,4,3.57,4,2,4,2.101,,,,,1,2,4,3.12,1,3,3,3.1,5,7,6,3.192,,,,,,,,,,,,,3,6,5,7.353,4,3,4,4.7,4,6,3,2.991,,,,,2,5,6,3.223,,,,,4,4,3,5.255,,,,,6,6,5,2.566,,,,,,,,,,,,,"13,32","6",1,3,3,2,41,35,"2,3",10,8.16,10,5.11,10,3.324,26,2,2,4,"1",3,5,4,2,1,25,2,1,1,1,4,3,4,2,
"R_2VjW8dmHcnb617n","2022-03-15 20:05:16","2022-03-15 20:05:39",100,23,1,"15","1,3","1,2,3,4,5,8",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,19,2,1,2,1,4,1,3,2,
"R_XNF9X0ldk4PHB8l","2022-03-15 20:04:57","2022-03-15 20:05:41",100,44,1,"dsa dsa das ","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,21,1,9,1,6.667e+09,10,4,1,2,
"R_1jrWXINaKTu3oqY","2022-03-15 20:01:07","2022-03-15 20:06:43",100,336,1,"15","3,5","3,4,8",5,,,,,1,1,1,8.596,5,5,5,8.319,,,,,,,,,4,3,4,11.167,1,1,3,8.05,4,5,4,20.723,,,,,,,,,6,5,6,8.421,,,,,,,,,3,3,4,6.08,,,,,5,5,7,10.421,,,,,,,,,1,3,4,8.08,4,4,5,6.969,,,,,4,5,4,6.014,,,,,4,1,1,15.131,2,1,4,12.13,5,3,4,4.671,4,5,4,3.275,4,5,4,6.828,,,,,,,,,,,,,,,,,2,3,4,5.106,4,4,4,5.916,7,7,7,17.802,,,,,,,,,,,,,,,,,5,4,4,25.918,"3,15,18","3,5",1,1,1,1,5,100,"4",8,3.582,50,7.03,20,7.416,20,2,3,1,"1",4,6,8,2,2,19,2,2,1,1,6,1,4,2,
