ResponseId,StartDate,EndDate,Progress,Durationinseconds,Finished,Captcha,SharingType,SocialMedia,nicks,headlineS1,headlineC1,t_PageSubmit1,headlineS2,headlineC2,t_PageSubmit2,headlineS3,headlineC3,t_PageSubmit3,headlineS4,headlineC4,t_PageSubmit4,headlineS5,headlineC5,t_PageSubmit5,headlineS6,headlineC6,t_PageSubmit6,headlineS7,headlineC7,t_PageSubmit7,headlineS8,headlineC8,t_PageSubmit8,headlineS9,headlineC9,t_PageSubmit9,headlineS10,headlineC10,t_PageSubmit10,headlineS11,headlineC11,t_PageSubmit11,headlineS12,headlineC12,t_PageSubmit12,headlineS13,headlineC13,t_PageSubmit13,headlineS14,headlineC14,t_PageSubmit14,headlineS15,headlineC15,t_PageSubmit15,headlineS16,headlineC16,t_PageSubmit16,headlineS17,headlineC17,t_PageSubmit17,headlineS18,headlineC18,t_PageSubmit18,headlineS19,headlineC19,t_PageSubmit19,headlineS20,headlineC20,t_PageSubmit20,headlineS21,headlineC21,t_PageSubmit21,headlineS22,headlineC22,t_PageSubmit22,headlineS23,headlineC23,t_PageSubmit23,headlineS24,headlineC24,t_PageSubmit24,headlineS25,headlineC25,t_PageSubmit25,headlineS26,headlineC26,t_PageSubmit26,headlineS27,headlineC27,t_PageSubmit27,headlineS28,headlineC28,t_PageSubmit28,headlineS29,headlineC29,t_PageSubmit29,headlineS30,headlineC30,t_PageSubmit30,headlineS31,headlineC31,t_PageSubmit31,headlineS32,headlineC32,t_PageSubmit32,headlineS33,headlineC33,t_PageSubmit33,headlineS34,headlineC34,t_PageSubmit34,headlineS35,headlineC35,t_PageSubmit35,headlineS36,headlineC36,t_PageSubmit36,headlineS37,headlineC37,t_PageSubmit37,headlineS38,headlineC38,t_PageSubmit38,headlineS39,headlineC39,t_PageSubmit39,headlineS40,headlineC40,t_PageSubmit40,domains,screener_2,Party,DemRep_C,Social_Conserv,Economic_Conserv,ap_1,ap_2,screener_3,CRT_1,tCRT_PageSubmit_1,CRT_2,tCRT_PageSubmit_2,CRT_3,tCRT_PageSubmit_3,Age,Gender,Education,Income,Ethnicity,god,trust,risk,Random,Google,Lucid_age,Lucid_gender,Lucid_hhi,Lucid_ethnicity,Lucid_hispanic,Lucid_education,Lucid_political_party,Lucid_region
"R_1M0oroZT3obokkd","2022-04-27 19:02:59","2022-04-27 19:03:12",100,12,1,"Djdfffhc","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,48,2,1,2,1,3,2,2
"R_1qb5XxSD6lOqmu0","2022-04-27 19:03:37","2022-04-27 19:03:52",100,15,1,"15","1","1",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,35,2,3,2,1,3,1,3
"R_1GUndpQj1WebMvP","2022-04-27 19:03:42","2022-04-27 19:03:58",100,16,1,"15","2,4,5","1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,57,1,5,1,1,5,1,1
"R_2UhDHOX6Mt1NVGa","2022-04-27 19:03:48","2022-04-27 19:04:21",100,32,1,"15","1","2,3,4,8",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,20,2,1,2,1,4,1,3
"R_2ffaY9O4DMrnuG9","2022-04-27 19:04:22","2022-04-27 19:04:29",100,6,1,"25","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,28,1,11,1,1,8,1,2
"R_1BUTAIH4IfTODCW","2022-04-27 19:03:27","2022-04-27 19:04:39",100,71,1,"15","2","8",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,20,1,8,1,1,4,2,3
"R_1mCxALArrzfElQX","2022-04-27 19:04:21","2022-04-27 19:04:45",100,23,1,"15","1","4",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,35,2,4,1,1,4,1,2
"R_30ucVbt1Tii7R7w","2022-04-27 19:04:41","2022-04-27 19:05:02",100,21,1,"12","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,26,2,10,15,1,8,3,3
"R_2pLDL6lMsH6Rdwg","2022-04-27 19:04:56","2022-04-27 19:05:13",100,16,1,"15","5","8",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,18,2,16,1,16,4,3,1
"R_7P2mrH4PtnzwDQZ","2022-04-27 19:04:44","2022-04-27 19:05:14",100,29,1,"15","6","7",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,"",,,,,,,,,,,"",,,,,,33,2,1,1,1,4,3,3
